State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
KY,E W Brown,1355,6,,2025,896,809.13,89772.81,,0.307,0.001,60877.519,0.059,42.166,0.0832,1024381.015,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,6,,2026,768,702.88,86491.06,,0.288,0.001,57064.706,0.059,38.204,0.0808,960215.249,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,7,,2022,1228,1148.49,139825.87,,0.46,0.001,91189.004,0.059,45.254,0.0587,1534421.296,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,E W Brown,1355,7,,2023,234,199.64,24153.77,,0.081,0.001,16031.595,0.059,7.845,0.058,269756.31,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,7,,2024,793,719.04,91659.29,,0.306,0.001,60598.497,0.059,29.777,0.0583,1019677.741,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,7,,2025,1148,1054.39,116240.99,,0.405,0.001,80145.746,0.059,38.92,0.0577,1348623.465,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,7,,2026,781,731.39,88996.73,,0.301,0.001,59676.27,0.059,28.954,0.0577,1004190.099,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,8,,2022,761,705.9,57019.24,,4.333,0.0118,44616.503,0.0602,50.81,0.138,736033.706,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,E W Brown,1355,8,,2023,74,60.3,4374.05,,0.107,0.0077,3577.253,0.0598,4.035,0.1361,59872.257,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,8,,2024,174,152.11,9522.75,,0.14,0.0047,8160.035,0.0594,9.159,0.1346,136955.288,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,8,,2025,389,345.97,19493.03,,0.18,0.0025,17242.013,0.0592,19.336,0.1337,289800.523,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,8,,2026,277,254.73,16851.94,,0.154,0.0019,14155.118,0.0591,15.858,0.1334,237895.589,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,9,,2022,305,277.97,19985.33,,4.002,0.0266,15859.572,0.0616,16.163,0.1252,252801.608,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,E W Brown,1355,9,,2023,80,67.1,5391.79,,0.121,0.0073,4148.585,0.0598,4.124,0.119,69452.176,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,9,,2024,82,67.68,4462.75,,0.097,0.007,3514.762,0.0599,3.572,0.1228,58773.8,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,9,,2025,179,157.49,8775.19,,0.156,0.0043,7865.499,0.0594,7.947,0.1208,131935.23,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,9,,2026,210,194.65,12049.67,,0.15,0.0022,11156.555,0.0591,11.238,0.1201,187380.811,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Ghent,1356,1,,2022,7376,7365.79,2937708.67,,1122.532,0.0762,2898784.449,0.103,750.741,0.0512,28253248.63,Coal,,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction,Baghouse,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
KY,Ghent,1356,1,,2023,7291,7279.98,2899443.55,,770.845,0.0531,2868074.503,0.103,716.758,0.0503,27953962.01,Coal,,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction,Baghouse,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
