record_id,unit_key,dataset_id,reporting_year,operating_time,gross_load,steam_load,heat_input,co2_mass,so2_mass,nox_mass,so2_control,nox_control,pm_control,program_code
66,14,1,2022,NULL,23970.9,NULL,340865,20257.2,0.102,14.396,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
67,14,1,2023,NULL,7311.27,NULL,98472.9,5851.93,0.03,4.131,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
68,14,1,2024,NULL,19095.6,NULL,260069,15455.3,0.078,10.618,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
69,14,1,2025,NULL,34305.7,NULL,501575,29807,0.15,21.453,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
70,14,1,2026,NULL,32990.8,NULL,456175,27110.2,0.137,17.633,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
71,15,1,2022,NULL,112056,NULL,1215700,72246.7,0.365,19.536,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
72,15,1,2023,NULL,20116.5,NULL,222620,13230,0.067,3.54,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
73,15,1,2024,NULL,63987.9,NULL,711417,42278.1,0.213,13.739,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
74,15,1,2025,NULL,89772.8,NULL,1024380,60877.5,0.307,42.166,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
75,15,1,2026,NULL,86491.1,NULL,960215,57064.7,0.288,38.204,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
76,16,1,2022,NULL,139826,NULL,1534420,91189,0.46,45.254,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
77,16,1,2023,NULL,24153.8,NULL,269756,16031.6,0.081,7.845,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
78,16,1,2024,NULL,91659.3,NULL,1019680,60598.5,0.306,29.777,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
79,16,1,2025,NULL,116241,NULL,1348620,80145.7,0.405,38.92,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
80,16,1,2026,NULL,88996.7,NULL,1004190,59676.3,0.301,28.954,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
81,17,1,2022,NULL,57019.2,NULL,736034,44616.5,4.333,50.81,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
82,17,1,2023,NULL,4374.05,NULL,59872.3,3577.25,0.107,4.035,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
83,17,1,2024,NULL,9522.75,NULL,136955,8160.04,0.14,9.159,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
84,17,1,2025,NULL,19493,NULL,289801,17242,0.18,19.336,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
85,17,1,2026,NULL,16851.9,NULL,237896,14155.1,0.154,15.858,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
86,18,1,2022,NULL,19985.3,NULL,252802,15859.6,4.002,16.163,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
87,18,1,2023,NULL,5391.79,NULL,69452.2,4148.58,0.121,4.124,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
88,18,1,2024,NULL,4462.75,NULL,58773.8,3514.76,0.097,3.572,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
